commodity	snap_rank	snap_spending	snap_pct_of_total	nonsnap_rank	nonsnap_spending	nonsnap_pct_of_total
Soft drinks	1	357.7	5.44	2	1263.3	4.01
Fluid milk products	2	253.7	3.85	1	1270.3	4.03
Beef:grinds	3	201.0	3.05	6	621.1	1.97
Bag snacks	4	199.3	3.03	5	793.9	2.52
Cheese	5	186.4	2.83	3	948.9	3.01
Baked breads	6	163.7	2.49	4	874.8	2.78
Cold cereal	7	139.2	2.12	7	583.9	1.85
Chicken fresh	8	121.4	1.85	11	477.8	1.52
Frozen handhelds & snacks	9	101.5	1.54	47	214.6	0.68
Lunchmeat	10	99.4	1.51	17	386.1	1.23
Candy ‐ packaged	11	96.2	1.46	8	527.7	1.67
Infant formula	12	95.7	1.45	80	124.8	0.40
Frozen pizza	13	90.2	1.37	23	305.7	0.97
Refrigerated juices/drinks	14	88.5	1.35	14	412.8	1.31
Ice cream ice milk & sherbets	15	86.0	1.31	10	481.8	1.53
Coffee & creamers	16	82.3	1.25	9	519.4	1.65
Cookies	17	78.2	1.19	16	408.3	1.30
Water ‐ (sparkling & still)	18	77.0	1.17	18	379.2	1.20
Shelf stable juice	19	73.1	1.11	28	282.2	0.90
Eggs/muffins/potatoes	20	72.0	1.09	20	358.7	1.14
Frozen ss premium meals	21	68.6	1.04	12	447.1	1.42
Cakes	22	68.2	1.04	38	240.9	0.76
Bacon	23	66.1	1.00	27	283.2	0.90
Traditional Mexican foods	24	62.6	0.95	25	286.9	0.91
Yogurt	25	59.9	0.91	13	442.3	1.40
Salad dressing & sandwich spreads	26	59.7	0.91	30	280.9	0.89
Dinner sausage	27	59.3	0.90	46	222.6	0.71
Frozen prepared chicken	28	58.6	0.89	74	136.4	0.43
Baked sweet goods	29	57.5	0.87	62	159.6	0.51
Beef loins	30	56.3	0.86	31	280.3	0.89
Chicken frozen	31	54.8	0.83	85	123.0	0.39
Deli meat: bulk	32	54.6	0.83	15	411.0	1.30
Frozen multi serve	33	53.0	0.81	54	183.5	0.58
Dinner mixes‐dry	34	51.8	0.79	72	140.3	0.45
Frozen breakfast foods	35	51.3	0.78	55	180.9	0.57
Crackers & misc baked food	36	50.9	0.77	21	323.7	1.03
Frozen novelties‐water ice	37	50.7	0.77	43	229.7	0.73
Margarines	38	50.3	0.76	24	303.0	0.96
Condiments & sauces	39	49.8	0.76	52	187.2	0.59
Potatoes	40	48.8	0.74	34	265.2	0.84
Frozen vegetable & veg dish	41	48.2	0.73	33	266.9	0.85
Hot dogs	42	45.5	0.69	63	158.4	0.50
Can vegetables ‐ shelf stable	43	45.3	0.69	50	191.7	0.61
Shortening & oil	44	44.6	0.68	57	174.2	0.55
Sugars & sweeteners	45	43.3	0.66	60	162.4	0.52
Isotonic drinks	46	42.8	0.65	53	185.3	0.59
Salad mix	47	42.8	0.65	22	319.4	1.01
Milk by‐products	48	42.5	0.65	32	268.9	0.85
Pork boneless loin/rib	49	41.5	0.63	58	168.0	0.53
Cnv breakfast&wholesome snacks	50	41.1	0.62	45	226.1	0.72
Frozen ss economy meals	51	40.9	0.62	109	80.7	0.26
Refrigerated dough products	52	40.5	0.62	56	176.6	0.56
Beef: round	53	40.4	0.61	75	134.2	0.43
Dry bean veg&rice	54	39.9	0.61	59	166.1	0.53
Convenient meals	55	38.7	0.59	108	81.0	0.26
Tomatoes	56	38.3	0.58	35	261.7	0.83
Candy ‐ checklane	57	37.9	0.58	64	154.0	0.49
Berries	58	37.4	0.57	19	373.5	1.19
Grapes	59	36.1	0.55	39	235.7	0.75
Bananas	60	36.1	0.55	36	261.4	0.83
Peanut butter/jelly/jams&honey	61	36.0	0.55	42	231.0	0.73
Pork thin meats	62	35.0	0.53	93	106.8	0.34
Citrus	63	34.3	0.52	37	251.7	0.80
Breakfast sausage	64	34.2	0.52	79	126.7	0.40
Dry sauce/gravy/potatoes/stuffing	65	34.0	0.52	87	119.2	0.38
Salad & dips	66	33.9	0.52	40	235.3	0.75
Apples	67	33.7	0.51	29	281.7	0.89
Meat ‐ shelf stable	68	33.3	0.51	91	109.2	0.35
Aseptic juice	69	33.1	0.50	112	78.9	0.25
Sweet goods	70	32.5	0.49	66	152.9	0.49
Frozen potatoes	71	32.2	0.49	95	104.5	0.33
Meat frozen	72	31.9	0.48	120	69.9	0.22
Baby foods	73	30.6	0.46	121	67.8	0.22
Vegetables salad	74	30.0	0.46	44	228.6	0.73
Beef: thin meats	75	30.0	0.46	78	127.7	0.41
Seafood ‐ shrimp	76	29.8	0.45	84	123.1	0.39
Canned soups	77	29.7	0.45	65	153.6	0.49
Baking mixes	78	28.3	0.43	69	148.1	0.47
Pasta & pizza sauce	79	27.6	0.42	99	96.7	0.31
Dry noodles & pasta	80	27.5	0.42	71	141.5	0.45
Can seafood ‐ shelf stable	81	26.5	0.40	77	132.3	0.42
Rts/micro soup/broth	82	26.0	0.40	48	200.8	0.64
Canned pasta&mwv fd‐shlf stbl	83	25.9	0.39	135	56.7	0.18
Smoked hams	84	25.7	0.39	92	108.8	0.35
Nuts	85	25.6	0.39	41	234.2	0.74
Value added fruit	86	25.3	0.38	70	146.6	0.47
Can beans	87	24.0	0.36	82	123.3	0.39
Dry/ramen bouillon	88	21.7	0.33	133	61.0	0.19
Powder & crystal drink mix	89	21.6	0.33	119	75.2	0.24
Rtd tea/new age juice	90	21.5	0.33	103	93.8	0.30
Baking needs	91	21.3	0.32	51	188.9	0.60
Can fruit/jar applesauce	92	20.9	0.32	96	104.0	0.33
Spices & extracts	93	20.4	0.31	86	121.9	0.39
Energy drinks	94	20.1	0.30	102	94.1	0.30
Onions	95	20.0	0.30	81	123.5	0.39
Tropical fruit	96	19.8	0.30	61	160.1	0.51
Bagels&cream cheese	97	19.8	0.30	83	123.2	0.39
Frozen bread/dough	98	19.7	0.30	114	77.7	0.25
Rolls	99	18.9	0.29	88	113.9	0.36
Hot cereal	100	18.9	0.29	100	96.1	0.30
Tomato products‐shelf stable	101	18.8	0.29	90	112.5	0.36
Bread	102	18.7	0.28	49	194.7	0.62
Frozen desserts	103	18.7	0.28	107	82.9	0.26
Chicken & poultry	104	18.7	0.28	140	50.3	0.16
Refrigerated dairy case	105	18.6	0.28	26	284.7	0.90
Dry cheese	106	18.5	0.28	111	79.1	0.25
Stone fruit	107	18.3	0.28	73	138.6	0.44
Molasses/syrups/pancake mixes	108	17.9	0.27	110	80.6	0.26
Peppers	109	17.7	0.27	76	133.4	0.42
Fruit snacks	110	17.6	0.27	152	43.2	0.14
Vegetables cooking bulk	111	17.3	0.26	68	150.6	0.48
Sandwiches	112	16.9	0.26	124	67.7	0.21
Service case meat	113	16.8	0.26	97	101.4	0.32
Melons	114	16.7	0.25	89	113.2	0.36
Popcorn	115	15.3	0.23	117	76.6	0.24
Warehouse snacks	116	14.7	0.22	125	67.1	0.21
Dry mix desserts	117	14.7	0.22	128	65.0	0.21
Single serve fruit/applesauce	118	14.6	0.22	127	65.4	0.21
